བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
,ཕ་དམ་པ་སངས་རྒྱས་ཀྱི་འདའ་ཀ་ཞལ་ཆེམས་དིང་རི་བརྒྱ་རྩ་མ་ཞེས་བྱ་བ་བཞུགས་སོ།།,BO2210,EN2210,The Hundred Verses of Advice : Tibetan Buddhist Teachings on What Matters Most,http://purl.bdrc.io/resource/P1243,"Association Padmakara (Peyzac-le-Moustier, Dordogne)",,,,,,bdr:MW4CZ295924_2,98
,ཆོས་དབྱིངས་རིན་པོ་ཆེའི་མཛོད།,BO2237,EN2237,"The Precious Treasury of the Basic Space of Phenomena / Longchen Rabjam ; translated under the direction of His Eminence Chagdud Tulku Rinpoche by Richard Barron (Chökyi Nyima) ; edited by members of the Padma Translation Committee, Susanne Fairclough ... [et al.] / Junction City, Calif. : Padma Publishing , cop. 2001",http://purl.bdrc.io/resource/P1583,"Barron, Richard (1952-....)",སྔགས། རྫོགས་པ་ཆེན་པོ།,,,,,bdr:WA0XLF3DC987F,730
,,BO3877,EN3877,Hermeneutics and Tradition in the Saṃdhinirmocana-Sūtra,,John Powers,མདོ།,,,,,bdr:WA0RK0106,212
,བཤེས་པའི་སྤྲིངས་ཡིག་གི་འགྲེལ་པ་དོན་གསལ།,BO4616,EN4616,Nāgārjuna's Letter with Commentary by Venerable Rendawa Zhön-nu Lo-drö,http://purl.bdrc.io/resource/P60,Geshe Lobsang Tharchin and Artemus B. Engle,བློ་སྦྱོང་།,,,,,http://purl.bdrc.io/resource/WA453,1279
,མཁན་ཆེན་ཐམས་ཅད་མཁྱེན་པ་བུ་སྟོན་ལོ་ཙ་བའི་རྣམ་པར་ཐར་པ་བརྗོད་པའི་གཏམ་སྙིམ་པའི་མེ་ཏོག,BO4598,EN4598,A Handful of Flowers (A Brief Biography of Buton Rinchen Drub),http://purl.bdrc.io/resource/P154,Hans van den Bogaert,རྣམ་ཐར།,,,,,http://purl.bdrc.io/resource/WA26455,862
,ཚངས་དབྱངས་རྒྱ་མཚོའི་མགུར་གླུ།,BO4586,EN4586,Songs of the Sixth Dalai Lama,http://purl.bdrc.io/resource/P352,K. Dhondup,མགུར།,,,,,http://purl.bdrc.io/resource/WA20179,71
,བློ་རིག་གི་སྡོམ་ཚིག་བླང་དོར་གསལ་བའི་མེ་ལོང།,BO4596,EN4596,A Compendium of Ways of Knowing,A-kya Yong-dzin Yang-chan Ga-wai Lo-dro,Sherpa Tulku and Alexander Berzin with Khamlung Tulku and Jonathan Landaw,མདོ། ཚད་མ།,,,,,bdr:WA1CZ1010,114
,འགྲོ་བ་བཟང་མོའི་རྣམ་ཐར།,BO4658,EN4658,Drowa Sangmo,དམངས་ཁྲོད།,C. B. Josamya,ཟློས་གར།,,,,,bdr:WA0XL2931004FA,899
,ཆོས་བཞི་རིན་པོ་ཆེའི་ཕྲེང་བ།,BO4627,EN4627,The Four-Themed Precious Garland (An Introduction to Dzog-ch’en Long-ch’en Ram-jam-pa),"http://purl.bdrc.io/resource/P1583
",Alexander Berzin with Sharpa Tulku & Matthew Kapstein,,,,,,bdr:WA0XLFC28BECFF6EB,217
,ཁ་ཆེ་ཕ་ལུའི་བསླབ་བྱ།,BO2274,EN2274,Khache Phalu's advice on the art of living,http://purl.bdrc.io/resource/P1ER15,Dawa Norbu (1949-2006),,,,,,bdr:WA8CZ90,346
,རྒྱ་བཟའ་དང་བལ་བཟའི་རྣམ་ཐར།,BO4663,EN4663,Gyalsa Belsa,དམངས་ཁྲོད།,Cynthia B. Josayma,རྣམ་ཐར།,,,,,bdr:WA1KG14748,171
,ཇ་ཆང་ལྷ་མོའི་བསྟན་བཅོས།,BO4666,EN4666,The Dispute between Tea and Chang,https://library.bdrc.io/show/bdr:P418,Alexander Fedotov and Acharya Sangye T. Naga,,,,,,bdr:WA2KG208432,319
